platform,p50_ms,max_over_p50,cv_pct,miss_pct_d1.05,miss_pct_d1.10,miss_pct_d1.20,miss_pct_d1.40,margin_zero_miss
KR260 probe (dedic.),95.5672,1.3942,0.3660,0.0310,0.0110,0.0030,0.0000,1.3942
KR260 DPU (idle),15.9842,1.4419,0.5725,0.0820,0.0270,0.0090,0.0010,1.4419
Orin 15W (deployed),2.8101,1.0859,0.5950,0.1250,0.0000,0.0000,0.0000,1.0859
Orin (thermal),2.7873,3.7324,3.9022,1.7367,0.5300,0.2233,0.1133,3.7324
Orin (+ co-tenant),2.7900,1.1195,0.4308,0.0250,0.0250,0.0000,0.0000,1.1195
GPU (loaded),1.7152,4.3827,4.3901,9.6570,4.5010,0.2120,0.1430,4.3827
