size,mean,std,cv_pct,p50,p99,p999,mn,mx,n
0,1.614728308049962,0.015702072010282928,0.972428112643027,1.6118400963023305,1.676960070617497,1.726214020978661,1.5880949795246124,1.752885989844799,1200
2048,2.365020614427825,0.005720064490962415,0.24186108383441232,2.365340478718281,2.376593581866473,2.382933776360005,2.3398699704557657,2.4364700075238943,1200
4096,3.4246823841628307,0.025214779167253523,0.73626620920694,3.437088103964925,3.451505897101015,3.4971081351395763,3.3310530707240105,3.5532917827367783,1200
8192,3.391321475889223,0.2746103604536493,8.097444090924613,3.439709427766502,3.4553797799162567,3.4638297981582586,1.727578928694129,3.4824039321392775,1200
12288,3.4385004899619767,0.026914359189758406,0.782735360030617,3.4384619211778045,3.537803797516972,3.5474679325707257,3.1029200181365013,3.5509730223566294,1200
